date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:47:58	67211/67211	---M--	200	added ('OK')	text/html	date:Tue,%2022%20Feb%202022%2023:14:30%20GMT	https://labartisan.net/demo/kitton/index-2.html	C:/Users/G'anisher/Desktop/two/two/labartisan.net/demo/kitton/index-2.html	(from )
23:47:58	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20May%202023%2018:48:00%20GMT	https://labartisan.net/robots.txt		(from )
23:48:10	57180/57180	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Dec%202019%2011:09:52%20GMT	https://labartisan.net/demo/kitton/assets/css/all.min.css	C:/Users/G'anisher/Desktop/two/two/labartisan.net/demo/kitton/assets/css/all.min.css	(from https://labartisan.net/demo/kitton/index-2.html)
23:48:12	163873/163873	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Oct%202021%2001:44:24%20GMT	https://labartisan.net/demo/kitton/assets/css/bootstrap.min.css	C:/Users/G'anisher/Desktop/two/two/labartisan.net/demo/kitton/assets/css/bootstrap.min.css	(from https://labartisan.net/demo/kitton/index-2.html)
23:48:12	4093/4093	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Oct%202019%2015:32:24%20GMT	https://labartisan.net/demo/kitton/assets/css/nice-select.css	C:/Users/G'anisher/Desktop/two/two/labartisan.net/demo/kitton/assets/css/nice-select.css	(from https://labartisan.net/demo/kitton/index-2.html)
23:48:13	1329/1329	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Aug%202020%2017:33:14%20GMT	https://labartisan.net/demo/kitton/assets/css/slick.css	C:/Users/G'anisher/Desktop/two/two/labartisan.net/demo/kitton/assets/css/slick.css	(from https://labartisan.net/demo/kitton/index-2.html)
23:48:14	3603/3603	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Aug%202020%2017:33:28%20GMT	https://labartisan.net/demo/kitton/assets/css/slick-theme.css	C:/Users/G'anisher/Desktop/two/two/labartisan.net/demo/kitton/assets/css/slick-theme.css	(from https://labartisan.net/demo/kitton/index-2.html)
23:48:14	62322/62322	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202020%2018:45:18%20GMT	https://labartisan.net/demo/kitton/assets/css/animate.css	C:/Users/G'anisher/Desktop/two/two/labartisan.net/demo/kitton/assets/css/animate.css	(from https://labartisan.net/demo/kitton/index-2.html)
23:48:14	3478/3478	---M--	200	added ('OK')	text/css	date:Mon,%2004%20Nov%202019%2011:56:36%20GMT	https://labartisan.net/demo/kitton/assets/css/odometer.css	C:/Users/G'anisher/Desktop/two/two/labartisan.net/demo/kitton/assets/css/odometer.css	(from https://labartisan.net/demo/kitton/index-2.html)
23:48:15	6836/6836	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Dec%202019%2017:32:40%20GMT	https://labartisan.net/demo/kitton/assets/css/magnific-popup.css	C:/Users/G'anisher/Desktop/two/two/labartisan.net/demo/kitton/assets/css/magnific-popup.css	(from https://labartisan.net/demo/kitton/index-2.html)
